nombre,gasto_promedio,frecuencia_semanal,categoria
Sofía,43.708610696262625,0,0
Manuel,26.509131087954742,1,0
Ana,63.8792635777333,0,0
Pedro,50.124947756823204,0,0
Luis,15.227525095137953,1,0
Ana,40.033775002511966,1,0
Camila,73.7265320016441,1,0
Luis,15.077042112439024,1,0
Miguel,84.91983767203796,1,0
Ana,10.070088925691289,1,0
Camila,26.506405886809045,1,0
Marta,65.04878444394528,0,0
Natalia,48.87505167779042,0,0
Natalia,57.22971942325502,0,0
Manuel,22.554447458683764,1,0
Valeria,97.63799669573133,0,0
Paula,51.046298579533236,0,0
Miguel,65.65474083997785,1,0
Lucía,56.28109945722505,1,0
Paula,52.00866039231819,0,0
Manuel,64.67903667112945,0,0
Javier,50.54493267725887,1,0
Diego,95.39969835279999,1,0
Sebastián,60.695939606098534,1,0
Carlos,37.41523922560336,0,0
Natalia,30.78044430599341,1,0
Sofía,49.61372443656412,0,0
Laura,64.89969920043589,1,0
Sofía,13.094966900369656,1,0
Sebastián,45.19545468159167,1,0
Natalia,69.62700559185838,1,0
Diego,48.26402870421202,1,0
Ana,59.203925140895166,1,0
Andrés,12.818196321000272,1,0
Luis,79.76195410250031,1,0
Javier,45.5635212401633,1,0
Miguel,63.810998092997664,1,0
Camila,39.388669192525185,1,0
Luis,27.638457617723066,0,0
Sebastián,96.50548219144142,0,0
Valeria,44.98095607205338,1,0
Diego,58.572291915017175,1,0
Paula,42.10779940242303,1,0
Camila,64.63308229180163,0,0
Pedro,22.683180247728636,0,0
Camila,24.874024515670225,0,0
Natalia,98.81982429404655,1,0
Javier,45.53933663580128,1,0
Manuel,10.496990541124216,0,0
Manuel,27.895816367992463,1,0
Ana,75.61064512368885,0,0
Sebastián,64.53639773029101,1,0
Javier,42.261915568984534,0,0
Camila,92.34637079894027,0,0
Camila,66.09683141448022,1,0
Camila,18.586910484137018,0,0
Carlos,37.9884089544096,1,0
Elena,69.9330120955747,1,0
Paula,67.38017242196918,0,0
Sofía,60.5119083262931,0,0
Sebastián,20.763482134447152,1,0
David,86.40224418394754,0,0
Miguel,60.51494778125466,0,0
Sofía,33.046149048519155,0,0
Lucía,57.045954644379464,0,0
Paula,19.98017387306482,1,0
Javier,19.7102284293974,0,0
Manuel,90.61872361061674,0,0
Marta,38.2920382968694,1,0
Carlos,72.59644777835148,0,0
Elena,32.43630062339874,0,0
Paula,58.58569821715058,0,0
Manuel,30.59183489424602,1,0
Sebastián,63.89789198396824,0,0
Javier,24.5099158528604,1,0
David,66.19186433204139,1,0
Sofía,67.00633808593811,1,0
Manuel,51.08811134346192,1,0
Marta,26.791305299743225,1,0
Lucía,89.49522330269815,1,0
Camila,82.66961396476563,1,0
Lucía,42.06680542692774,1,0
Laura,19.90467320749091,0,0
Miguel,68.29211084872261,0,0
David,83.62132893302439,0,0
Elena,37.43031323422261,1,0
Javier,55.967257231980916,0,0
Javier,53.63469742230849,0,0
Paula,20.787883060031454,1,0
Pedro,31.971297002299675,0,0
Marta,39.088263881867974,1,0
Diego,60.22918018156071,1,0
Diego,42.726664214136456,0,0
Camila,32.85238725409102,1,0
Valeria,32.66040662428277,1,0
Elena,74.10435309319978,0,0
Sebastián,35.63564449397208,0,0
Andrés,34.01029128477565,1,0
Manuel,55.24111209059753,1,0
Paula,12.974565961049354,1,0
Natalia,190.82658859666537,2,1
Camila,168.07054515547668,2,1
Ana,148.9452760277563,3,1
Elena,155.2893089071328,2,1
Javier,167.21355474058785,2,1
Valeria,136.96544560614046,2,1
Sofía,172.82163486118594,3,1
Manuel,147.03006344460385,3,1
Sofía,163.35297107608946,2,1
Laura,181.6431873219384,3,1
Lucía,183.5302495589238,3,1
Laura,150.81987767407188,3,1
Sofía,104.0775141554764,3,1
Marta,132.59589052018848,3,1
Manuel,101.65878289278561,2,1
Javier,180.95010461397155,3,1
Natalia,164.51727904094497,3,1
Camila,194.0523264489604,3,1
Ana,138.67353463005372,3,1
Camila,183.7710105907328,2,1
Marta,134.10663510502584,2,1
Paula,120.90716207377136,2,1
Diego,187.7339353380981,2,1
Manuel,122.85500217972996,3,1
Camila,181.7222200201216,2,1
Lucía,151.66358912710143,2,1
Javier,124.18522909004517,3,1
Elena,196.54193512887935,2,1
Lucía,190.04180571633304,2,1
Pedro,118.87071083413794,2,1
Valeria,134.92095746126608,3,1
Valeria,184.6661142238306,3,1
Luis,188.70864242651174,3,1
Camila,188.77700987609597,3,1
Pedro,108.41399649950489,3,1
Javier,178.53406511139434,3,1
Miguel,160.642905965959,2,1
Camila,137.2282766561743,2,1
Andrés,166.3501769108056,2,1
Paula,128.39209747374656,3,1
Sofía,154.8733789366586,3,1
Paula,144.84241429862473,2,1
Manuel,122.42693094605598,2,1
Paula,101.80753636155208,3,1
Paula,132.53996981592678,3,1
Sofía,136.64687845828598,3,1
Andrés,184.9223410494178,2,1
Laura,130.80607918523893,3,1
Lucía,109.36747678280925,2,1
Luis,163.63326181858955,3,1
Andrés,124.39896433790835,3,1
Sebastián,197.88928582750088,2,1
Camila,189.20465551771133,2,1
Camila,143.43943655104286,2,1
Elena,150.2637093105192,3,1
Andrés,166.89240596630998,2,1
Valeria,119.52429877980445,2,1
Laura,149.91933798847523,3,1
Miguel,102.43159664314538,2,1
Paula,104.36037717544338,3,1
David,194.04585843529145,2,1
Luis,127.95603417967587,3,1
Javier,137.01587002554444,2,1
Luis,195.30718470239532,2,1
Luis,142.81841483173145,2,1
Elena,157.22924691708383,3,1
Manuel,185.300945546736,2,1
Miguel,130.5697019287182,3,1
Valeria,185.1136671516857,3,1
David,148.52798742763156,3,1
Valeria,155.68012624583503,2,1
Lucía,184.42131407263113,2,1
Luis,157.00611700893649,3,1
Ana,120.89187176153601,2,1
Natalia,199.00538501042632,3,1
Lucía,125.41636490697388,3,1
Lucía,187.73730719279553,2,1
Elena,184.86697949246744,2,1
Luis,170.24840839871092,3,1
Diego,155.28199769079077,3,1
Luis,180.93611554785136,2,1
David,125.6206943594458,3,1
Sofía,191.32405525564712,3,1
Sebastián,100.51848627739868,3,1
Pedro,179.82951789667752,2,1
Andrés,107.09409169999276,3,1
Paula,179.5792669436101,3,1
Pedro,188.66171489506598,2,1
Paula,137.5582952639944,3,1
Paula,143.8474123018087,2,1
Elena,103.59422737967421,2,1
Luis,115.50416167277442,3,1
Luis,128.65412521282843,3,1
Natalia,186.04046183116753,2,1
Marta,103.73481887492144,3,1
Lucía,130.32655146732228,2,1
Lucía,112.70605126518848,2,1
Ana,182.78690037875887,3,1
Marta,121.58210274968431,2,1
Manuel,145.72651616137284,3,1
Luis,215.50451635058232,7,2
Javier,323.4061715170036,6,2
Marta,391.22897044946194,7,2
Andrés,239.82362667289095,5,2
Sofía,354.89010449035857,5,2
Ana,212.32025503036274,7,2
Luis,281.24967537862227,7,2
Valeria,423.2127928997346,5,2
Luis,207.60522302463724,4,2
Luis,224.2618899851593,6,2
Sofía,408.7922618281094,4,2
Natalia,217.4580786525331,5,2
Lucía,246.9311128013258,5,2
Manuel,271.936207747221,5,2
Pedro,414.37877681001873,7,2
Diego,480.3841992019129,4,2
Valeria,486.4595841989582,6,2
Diego,397.13339855005006,4,2
Elena,383.5162238703057,6,2
Luis,214.31483830749463,5,2
Luis,306.7918035953785,4,2
Ana,236.04939434169265,4,2
Lucía,234.82179215207486,4,2
Sebastián,228.24709648056805,5,2
Sofía,456.6381752033022,7,2
Miguel,252.59908096680155,7,2
Luis,229.35024819530045,7,2
Laura,442.07389311523383,7,2
Lucía,251.96056097300456,5,2
Sebastián,394.932104792829,5,2
Diego,384.7550294156649,4,2
